timestamp,station,lat,lon,pm25,pm10,co,no2,so2,o3,aqi
2024-09-20 16:00:00,Punjabi Bagh,28.6741,77.131,83.6,121.1,1943.0,118.5,51.5,1.0,178.2
2024-09-20 17:00:00,Punjabi Bagh,28.6741,77.131,81.7,118.5,1882.0,112.6,48.6,1.0,171.7
2024-09-20 18:00:00,Punjabi Bagh,28.6741,77.131,75.7,109.4,1792.0,105.6,45.4,2.0,151.2
2024-09-20 19:00:00,Punjabi Bagh,28.6741,77.131,70.5,102.4,1692.0,99.6,42.3,2.0,133.4
2024-09-20 20:00:00,Punjabi Bagh,28.6741,77.131,67.8,98.5,1562.0,92.6,38.8,3.0,124.2
2024-09-20 21:00:00,Punjabi Bagh,28.6741,77.131,67.1,97.3,1469.0,87.4,37.0,4.0,121.8
2024-09-20 22:00:00,Punjabi Bagh,28.6741,77.131,67.5,98.0,1458.0,86.5,38.3,0.0,123.2
2024-09-20 23:00:00,Punjabi Bagh,28.6741,77.131,68.7,99.7,1483.0,87.3,41.2,0.0,127.3
2024-09-21 00:00:00,Punjabi Bagh,28.6741,77.131,61.5,88.9,1253.0,73.1,36.3,5.0,102.7
2024-09-21 01:00:00,Punjabi Bagh,28.6741,77.131,65.7,95.2,1194.0,65.8,35.7,29.0,117.0
2024-09-21 02:00:00,Punjabi Bagh,28.6741,77.131,68.7,99.7,1106.0,55.5,35.1,63.0,127.3
2024-09-21 03:00:00,Punjabi Bagh,28.6741,77.131,58.6,85.2,987.0,45.0,35.9,96.0,97.6
2024-09-21 04:00:00,Punjabi Bagh,28.6741,77.131,45.9,67.8,809.0,34.6,39.8,127.0,76.2
2024-09-21 05:00:00,Punjabi Bagh,28.6741,77.131,38.8,58.0,602.0,24.2,45.1,157.0,64.2
2024-09-21 06:00:00,Punjabi Bagh,28.6741,77.131,42.1,62.9,450.0,16.2,47.7,184.0,69.8
2024-09-21 07:00:00,Punjabi Bagh,28.6741,77.131,43.0,63.8,393.0,11.1,45.2,210.0,71.3
2024-09-21 08:00:00,Punjabi Bagh,28.6741,77.131,44.0,65.4,392.0,8.5,40.0,233.0,73.0
2024-09-21 09:00:00,Punjabi Bagh,28.6741,77.131,42.6,63.3,417.0,9.4,36.0,243.0,70.6
2024-09-21 10:00:00,Punjabi Bagh,28.6741,77.131,41.6,61.5,412.0,12.0,33.1,237.0,68.9
2024-09-21 11:00:00,Punjabi Bagh,28.6741,77.131,40.9,60.3,434.0,18.1,31.2,218.0,67.7
