ward_name,population,population_density_per_km2
ADARASH  NAGAR,,
ALIPUR,77279,1576.7
AMAR COLONY,58589,32694.8
AMBEDKAR NAGAR,,
ANAND VIHAR,69183,15730.6
ANARKALI,49180,56528.7
ANDREWSGANJ,57449,16986.7
ASHOK NAGAR,59850,63670.2
ASHOK VIHAR,55773,27393.4
AYA NAGAR,51237,1605.9
AZAD NAGAR,74621,84700.3
BABAR PUR,,
BADAR PUR,69273,28182.7
BAKHTAWAR PUR,55144,1022.4
BALJIT NAGAR,,
BALLIMARAN,56090,105830.2
BANKNER,52796,2498.7
BAWANA,63866,1129.0
BAZAR SITARAM,57774,161831.9
BEGUMPUR,78987,1696.6
BHAJANPURA,54625,46608.4
BHALASWA JAHAGIR PUR,,
BHALSWA,69332,19399.0
BHATI,71373,1534.9
BHOGAL,,
BIJWASAN,47291,2060.2
BINDAPUR,60543,31095.5
BRAHAM PURI,75903,71404.5
BUDH VIHAR,50575,22874.3
BURARI,82052,4735.8
CHANDNI CHOWK,35509,13589.4
CHAUHAN BANGER,63283,107807.5
CHHATARPUR,59558,4550.2
CHHAWLA,,
CHIRAG DELHI,77698,33679.2
CHITRANJAN PARK,,
DABRI,66907,47018.3
DAKSHINPURI EXT.,,
DALLOPURA,,
DARYAGANJ,49571,9663.0
DELHI CANTT CHARGE 1,,
DELHI CANTT CHARGE 2,,
DELHI CANTT CHARGE 3,,
DELHI CANTT CHARGE 4,,
DELHI CANTT CHARGE 5,,
DELHI CANTT CHARGE 6,,
DELHI CANTT CHARGE 7,,
DELHI CANTT CHARGE 8,,
DEOLI,55131,5310.8
DEPUTY GANJ,,
DEV NAGAR,62079,82223.8
DHARAMPURA,,
DHIR PUR,58842,8473.8
DICHAON KALAN,77605,2517.5
DILSHAD COLONY,75385,78200.2
DILSHAD GARDEN,80132,37270.7
DURGA PURI,,
EAST OF KAILASH,,
EAST PATEL NAGAR,44420,18695.3
G.T.B. NAGAR,,
GANDHI NAGAR,53385,53978.8
GEETA COLONY,60689,48396.3
GHAROLI,76017,37299.8
GHONDA,54822,70284.6
GHONDLI,,
GOKALPUR,,
GOVIND PURI,74651,142463.7
GREATER KAILASH-I,,
GURU HARKISHAN NAGAR,58060,20922.5
HARI NAGAR,74461,31404.9
HARKESH NAGAR,66318,28972.5
HARSH VIHAR,87009,34323.1
HASTSAL,83484,8483.3
HAUZ KHAS,45509,19846.9
HAUZ RANI,,
I.P EXTENTION,,
IDGAH ROAD,,
INDER LOK COLONY,,
INDER PURI,63339,57268.5
JAHANGIR PURI -II,,
JAHANGIRPURI-I,,
JAITPUR,59330,16192.7
JAMA MASJID,62214,80379.8
JANAK PURI NORTH,,
JANAK PURI SOUTH,71265,32841.0
JANAK PURI WEST,74807,32867.8
JANTA COLONY,,
JHARODA,59744,4781.8
JHILMIL,68921,56865.5
JIWANPUR,,
KAKRAULA,,
KALKAJI,44112,35980.4
KALYAN PURI,86599,189910.1
KAMLA NAGAR,71189,29477.8
KAPASHERA,74590,3418.7
KARALA,72218,1913.8
KARAM PURA,72228,32201.5
KARAWAL NAGAR EAST,76601,61134.1
KARAWAL NAGAR WEST,59244,28441.7
KARDAM PURI,75575,51341.7
KAROL BAGH,69310,30372.5
KASHMERE GATE,,
KASTURBA NAGAR,,
KHAJOORI KHAS,70863,62933.4
KHANPUR,64453,18420.4
KHERA,,
KHICHRIPUR,,
KHYALA,73014,51382.1
KIRARI SULEMAN NAGAR,,
KIRTI NAGAR,,
KISHAN GANJ,71842,58694.4
KISHAN KUNJ,,
KISHANGARH,,
KOHAT ENCLAVE,63404,31050.0
KONDLI,,
KOTLA MUBARAKPUR,55913,40872.1
KRISHNA  NAGAR,60694,29708.3
KUCHA PANDIT,,
KUNWAR SINGH NAGAR,,
LADOSARAI,72778,11382.2
LAJPAT NAGAR,57849,33438.7
LAXMI NAGAR,35684,38871.5
LIBAS PUR,,
MADANGIR,52695,106886.4
MADANPUR KHADAR,,
MADHU VIHAR,67394,55015.5
MADIPUR,71727,124095.2
MAHAVIR ENCLAVE,69484,29962.9
MAHAVIR NAGAR,,
MAHIPALPUR,64178,8573.1
MAJNU KA TILA,,
MAJOR BHUPINDAR SINGH NAGAR,,
MALKAGANJ,70204,70841.6
MALVIYA NAGAR,62475,11250.7
MANDAWALI,49753,55036.5
MANGLAPURI,66649,27225.9
MANGOL PURI  NORTH,,
MANGOLPURI,68404,78535.0
MANGOLPURI  EAST,,
MANGOLPURI  WEST,,
MANSAROWER GARDEN,,
MATIALA,57780,4747.4
MAUJPUR,60633,80521.9
MAYUR VIHAR PHASE II,54346,23314.5
MAYUR VIHAR PHASE-I,93381,56253.6
MEETHEYPUR,,
MEHRAULI,74939,25164.2
MILAP NAGAR,,
MINTO ROAD,,
MODEL BASTI,,
MODEL TOWN,65907,23437.8
MOHAN GARDEN,,
MOLARBAND,68088,47185.0
MOTI NAGAR,58931,61068.4
MUKHERJEE NAGAR,79914,30938.4
MUKUND PUR,82666,14924.4
MUNDAKA,,
MUNIRKA,64000,52805.3
MUSTAFABAD,55594,43163.0
NAHARPUR,,
NAJAFGARH,62544,31334.7
NANAK PURA,,
NAND NAGRI,72869,117911.0
NANGAL RAYA,,
NANGLI SAKRAVATI,,
NANGLOI EAST,,
NANGLOI JAT WEST,,
NARAINA,76504,40628.8
NARELA,49517,2443.2
NAWADA,,
NDMC CHARGE 1,,
NDMC CHARGE 2,,
NDMC CHARGE 3,,
NDMC CHARGE 4,,
NDMC CHARGE 5,,
NDMC CHARGE 6,,
NDMC CHARGE 7,,
NDMC CHARGE 8,,
NDMC CHARGE 9,,
NEHRU VIHAR,61552,433464.8
NEW ASHOK NAGAR,56168,34269.7
NEW RANJIT NAGAR,,
NEW SEEMA PURI,,
NEW USMANPUR,,
NILOTHI,80162,19896.3
NIMRI COLONY,,
NITHARI,59910,10631.8
NIZAMUDDIN,,
OKHLA,,
PAHAR GANJ,67390,64985.5
PALAM,54400,19311.3
PANDAV NAGAR,62945,35502.0
PASCHIM VIHAR NORTH,,
PASCHIM VIHAR SOUTH,,
PATPARGANJ,58762,37764.8
PERAGHARHI,,
PITAMPUR NORTH,,
PITAMPURA SOUTH,,
POOTH KALAN,,
PRATAP VIHAR,,
PREET VIHAR,55192,15791.7
PREM NAGAR,66920,84816.2
PUL PEHLAD,,
PUNJABI BAGH,70061,22376.6
PUSA,,
PUSHP VIHAR,82509,45409.5
QASABPURA,,
QUAMMRUDDIN NAGAR,,
R. K. PURAM,54471,23693.3
RAGHUBAR PURA,,
RAGHUBIR NAGAR,78369,125792.9
RAJ NAGAR,66872,285777.8
RAJA GARDEN,,
RAJENDER NAGAR,,
RAJOURI GARDEN,65197,28759.2
RAM NAGAR,69121,42172.7
RAM NAGAR,69121,163021.2
RAMPURA,,
RANA PRATAP BAGH,,
RANI BAGH,66419,19939.7
RITHALA,69450,33341.3
ROHINI,,
ROHINI CENTRAL,,
ROHINI EAST,,
ROHINI NORTH,,
ROHINI SOUTH,,
ROSHANPURA,69830,6534.7
SABOLI,86608,46992.9
SADH NAGAR,56487,70257.5
SAFDARJANG ENCLAVE,,
SAGARPUR,78790,120474.0
SAGARPUR WEST,,
SAHIBABAD DAULAT PUR,,
SAID UL AJAIB,70943,10882.5
SAMAYPUR BADLI,67788,22080.8
SANGAM PARK,44674,42345.0
SANGAM VIHAR,,
SANGAM VIHAR CENTRAL,,
SANGAM VIHAR EAST,,
SANGAM VIHAR WEST,,
SARAI PIPAL THALA,,
SARASWATI VIHAR,63813,16021.3
SARITA VIHAR,55385,7533.3
SAWAN PARK,,
SHAHDARA,69957,79496.6
SHAKARPUR,59011,51224.8
SHAKUR PUR,74681,73360.5
SHALIMAR BAGH NORTH,,
SHALIMAR BAGH SOUTH,,
SHAPUR JAT,,
SHASTRI NAGAR,76930,53497.9
SHIV VIHAR,49343,28358.0
SITA PURI,,
SONIA VIHAR,65031,9597.3
SRI NIWASPURI,71374,16502.7
SUBHASH MOHALLA,57209,99321.2
SUBHASH NAGAR,47824,34257.9
SULTANPUR MAJRA,,
SULTANPURI  EAST,,
SULTANPURI  SOUTH,,
SUNDER NAGARI,,
TAGORE GARDEN,,
TEKHAND,,
TIGRI,70576,34028.9
TILAK NAGAR,52266,34138.5
TIMAR PUR,76596,16034.3
TRI NAGAR,69013,72416.6
TRILOK PURI,91991,25307.0
TUGHLAKABAD,62786,9544.8
TUGHLAKABAD EXTN,,
