Ward_Name,ndvi_mean
DELHI CANTT CHARGE 1,0.44619785386158933
DELHI CANTT CHARGE 2,0.542417890776057
DELHI CANTT CHARGE 4,0.5402341967415041
DELHI CANTT CHARGE 5,0.40461243996596563
DELHI CANTT CHARGE 6,0.3397796499808322
DELHI CANTT CHARGE 7,0.4859509174983815
DELHI CANTT CHARGE 8,0.457188860770595
DELHI CANTT CHARGE 3,0.5323559036281792
NDMC CHARGE 1,0.39322652880470177
NDMC CHARGE 2,0.34001280780623583
NDMC CHARGE 3,0.6202567494322653
NDMC CHARGE 4,0.3665045877455871
NDMC CHARGE 5,0.49002859478241856
NDMC CHARGE 7,0.37566476032655505
NDMC CHARGE 8,0.3273514733810338
NDMC CHARGE 9,0.4738114749578123
NDMC CHARGE 6,0.4269756327954481
CHANDNI CHOWK,0.32580557319718795
MINTO ROAD,0.33070476852870917
KUCHA PANDIT,0.11275409504086932
BAZAR SITARAM,0.0887534346376404
IDGAH ROAD,0.1567183224859997
KHYALA,0.15572632617187404
JANAK PURI NORTH,0.28659464526847855
MUKHERJEE NAGAR,0.3024348044085067
JANAK PURI WEST,0.3190855238065139
JANAK PURI SOUTH,0.38431813868622844
MILAP NAGAR,0.09988380487787697
SITA PURI,0.10021988089509314
CHHAWLA,0.37119070829433654
NANGLI SAKRAVATI,0.34578911952175573
KAKRAULA,0.33890677564775534
KHERA,0.3513701140755469
DILSHAD GARDEN,0.36004527486286064
NEW SEEMA PURI,0.2645367851716671
NAND NAGRI,0.2955011919412411
SUNDER NAGARI,0.2706150266088364
DURGA PURI,0.1196722753126846
ASHOK NAGAR,0.2008265442581485
RAM NAGAR,0.17820488099196577
WELCOME COLONY,0.1824466627136121
CHAUHAN BANGER,0.09731815071952578
ZAFFRABAD,0.1425551193517614
MAUJPUR,0.09616125798035191
GHONDA,0.116605860851915
YAMUNA VIHAR,0.2113354704986684
SUBHASH MOHALLA,0.1324270939108533
KARDAM PURI,0.2277750426420747
JANTA COLONY,0.19627591895031277
BABAR PUR,0.11693831350504166
JIWANPUR,0.17601430423088857
GOKALPUR,0.16086193452774722
SABOLI,0.11908071319802142
HARSH VIHAR,0.17727192605051825
SHIV VIHAR,0.11736754908218817
KARAWAL NAGAR EAST,0.10388618481137507
MUSTAFABAD,0.09353940135183891
KHAJOORI KHAS,0.10809658762160669
KARAWAL NAGAR WEST,0.10662633077899085
SONIA VIHAR,0.33885424774570755
NIZAMUDDIN,0.37672010764716574
BHOGAL,0.2793476949140577
KASTURBA NAGAR,0.33068066783042677
AMAR COLONY,0.3103286740812472
MALVIYA NAGAR,0.5261323129711792
HAUZ RANI,0.2517260825089661
ANDREWSGANJ,0.3560403546186201
VASANT VIHAR,0.4938500632051738
MUNIRKA,0.42349091209735595
NANAK PURA,0.4652493932839079
VASANTKUNJ,0.6190698230748384
DAKSHINPURI EXT.,0.573229619631381
KHANPUR,0.38749582748854366
AMBEDKAR NAGAR,0.2824888363495961
MADANGIR,0.2578053787864213
PUSHP VIHAR,0.4749904910203212
TUGHLAKABAD EXTN,0.4572143437287278
SANGAM VIHAR CENTRAL,0.3925473745387778
SANGAM VIHAR EAST,0.48005489976189275
CHIRAG DELHI,0.4127807836997819
CHITRANJAN PARK,0.3840954512990289
SHAPUR JAT,0.5225952138471219
GREATER KAILASH-I,0.34558246227031153
SRI NIWASPURI,0.3741567259029839
EAST OF KAILASH,0.40972693713926456
GOVIND PURI,0.16273923658614606
KALKAJI,0.2749873348722007
TUGHLAKABAD,0.4197875235065155
PUL PEHLAD,0.4738703410285422
TEKHAND,0.2735367541953431
HARKESH NAGAR,0.2896597583769531
JAITPUR,0.27730731725017804
MEETHEYPUR,0.12923893244284396
BADAR PUR,0.3898884886110423
MOLARBAND,0.2248651348320607
OKHLA,0.3097131800804215
TURKMAN GATE,0.0824750176342252
BALLIMARAN,0.09315727495743556
RAM NAGAR,0.15722527171175932
QASABPURA,0.1744027763500911
PAHAR GANJ,0.18868746274520842
SADH NAGAR,0.10282066865065073
PUSA,0.501472843523658
INDER PURI,0.31059047005944523
NARAINA,0.24537995715751687
DEOLI,0.5273858365531979
CHHATARPUR,0.46797230199960616
AYA NAGAR,0.5499090480184115
BHATI,0.577183998596966
MADANPUR KHADAR,0.2839517318481274
SARITA VIHAR,0.3337935949894367
GHONDLI,0.13693970788988102
ANARKALI,0.10470553341152251
GANDHI NAGAR,0.22563161411485005
AZAD NAGAR,0.16199287603390225
RAGHUBAR PURA,0.1729026792638453
SHAHDARA,0.15174988511681087
JHILMIL,0.2438507645132925
VIVEK VIHAR,0.2491951480540087
DILSHAD COLONY,0.29129517737915217
PUNJABI BAGH,0.2522893240651785
NEW RANJIT NAGAR,0.1862772452437569
KIRTI NAGAR,0.21055802603330348
MANSAROWER GARDEN,0.19622130310248206
HASTSAL,0.24617395748014967
SANGAM PARK,0.2273368550620587
MODEL TOWN,0.2919595458435242
KAMLA NAGAR,0.3241237000157052
INDER LOK COLONY,0.21880288202094753
KISHAN GANJ,0.2727977030079005
DEPUTY GANJ,0.1671457800288154
KASHMERE GATE,0.32528715675799913
MAJNU KA TILA,0.42134214289407995
JAMA MASJID,0.17187423200473664
TILAK NAGAR,0.21414822645715964
MAJOR BHUPINDAR SINGH NAGAR,0.14730354907727908
VIKASPURI EAST,0.33724405512866645
MOHAN GARDEN,0.13473667744651874
NAWADA,0.12059268270883408
UTTAM NAGAR,0.11502340328469829
BINDAPUR,0.1179985746823976
DABRI,0.13246032785810116
MATIALA,0.3597995631356086
ROSHANPURA,0.22653135176693054
MAYUR VIHAR PHASE-I,0.3447197295948521
ROHINI,0.35479217912435806
DALLOPURA,0.2908778797485445
TRILOK PURI,0.38512204016117413
NEW ASHOK NAGAR,0.26901819538786564
KALYAN PURI,0.293424188030499
KHICHRIPUR,0.3070758803770448
KONDLI,0.294041959220435
GHAROLI,0.2690838910234438
VINOD NAGAR,0.23135709790550693
ASHOK VIHAR,0.22367679343007227
WAJIRPUR,0.3325102577306195
SAWAN PARK,0.37470593032895905
NIMRI COLONY,0.3658753337391795
SHAKUR PUR,0.2697783886216479
KOHAT ENCLAVE,0.24709860063420075
RAMPURA,0.23825606822456627
TRI NAGAR,0.1243578466563904
SARASWATI VIHAR,0.34286290937783287
RANI BAGH,0.3466006274317238
PASCHIM VIHAR NORTH,0.315688477164898
PASCHIM VIHAR SOUTH,0.31693883085755764
SHALIMAR BAGH SOUTH,0.33666287757196234
SHALIMAR BAGH NORTH,0.3546942776849908
PITAMPUR NORTH,0.3200769499913091
PITAMPURA SOUTH,0.2883023902936765
NAHARPUR,0.23063157411391666
ROHINI EAST,0.28315643127508167
ROHINI CENTRAL,0.3532165621964777
MANGOLPURI  WEST,0.2786300170220505
MANGOLPURI  EAST,0.23286305113019923
ROHINI SOUTH,0.24104180707570233
QUAMMRUDDIN NAGAR,0.26449917313462606
NANGLOI EAST,0.17942423169618865
PERAGHARHI,0.20457330442117028
GURU HARKISHAN NAGAR,0.2982164157179016
SULTANPURI  SOUTH,0.2039863946720277
SULTANPURI  EAST,0.2945546800957726
KIRARI SULEMAN NAGAR,0.11496998625298153
KARALA,0.30554536822997397
BEGUMPUR,0.3448167060781673
POOTH KALAN,0.24862696398182
VIJAY VIHAR,0.21401345914562672
GEETA COLONY,0.22924274888723384
KRISHNA  NAGAR,0.21599396386676875
PREET VIHAR,0.29537319512394183
I.P EXTENTION,0.27321422398335554
ANAND VIHAR,0.27983572706708937
,0.31970210684690553
SHAKARPUR,0.20007251184114128
LAXMI NAGAR,0.11932725108257423
RITHALA,0.2518100006413889
MAYUR VIHAR PHASE II,0.3285061098012807
MANDAWALI,0.14732646218836065
KARAM PURA,0.31169434458695033
MAHAVIR ENCLAVE,0.20772489650453274
SAGARPUR,0.2380844501375929
SAGARPUR WEST,0.11022994695770659
MUNDAKA,0.29353014671907907
EAST PATEL NAGAR,0.3225900122460156
WEST PATEL NAGAR,0.19267713895215008
DEV NAGAR,0.2871593438961057
KAROL BAGH,0.23889706625445
MODEL BASTI,0.3112009308810858
RANA PRATAP BAGH,0.2050914705788654
BAKHTAWAR PUR,0.3330715220649698
ALIPUR,0.3575755211016641
SAHIBABAD DAULAT PUR,0.3315291192896943
BANKNER,0.2787843570630593
MALKAGANJ,0.25296391037197663
JHARODA,0.18738670903170482
MUKUND PUR,0.16017652609977398
BAWANA,0.3236949930993719
BHALSWA,0.17461604721051943
SAMAYPUR BADLI,0.23882879670768792
JAHANGIRPURI-I,0.203099022762498
SARAI PIPAL THALA,0.20194132239747078
MAHIPALPUR,0.3974231132934523
KAPASHERA,0.3452401389885255
BIJWASAN,0.4016188555808602
ADARASH  NAGAR,0.14377171807390796
DHIR PUR,0.3597201197517571
G.T.B. NAGAR,0.3579795095669107
TIMAR PUR,0.38899301293943983
RAJA GARDEN,0.23440936541841273
RAGHUBIR NAGAR,0.21521033870333123
RAJOURI GARDEN,0.2478003333893095
NANGAL RAYA,0.2842642336887794
HARI NAGAR,0.2716679850956479
SUBHASH NAGAR,0.2957015395654735
MADHU VIHAR,0.09496725315282205
BUDH VIHAR,0.12401113982625589
NANGLOI JAT WEST,0.15211106037124605
NITHARI,0.24664525752377664
SULTANPUR MAJRA,0.24053578511244933
ROHINI NORTH,0.33855589832790733
LIBAS PUR,0.17028254258720119
BRAHAM PURI,0.10234500161488835
DICHAON KALAN,0.3695538270891987
MOTI NAGAR,0.241286727814923
MANGOLPURI,0.251148361313079
LAJPAT NAGAR,0.371830298226401
PALAM,0.1890113367188132
KISHANGARH,0.515713605119541
VISHWASH NAGAR,0.1704881398348078
MADIPUR,0.26132063955755463
RAJENDER NAGAR,0.40275772510648916
R. K. PURAM,0.4373292376436853
SAFDARJANG ENCLAVE,0.48219820552025067
HAUZ KHAS,0.35017519834870914
KOTLA MUBARAKPUR,0.26627463397103623
MANGLAPURI,0.19309293770131078
MANGOL PURI  NORTH,0.2508716496339457
TAGORE GARDEN,0.21799682383856978
LADOSARAI,0.47707273861477223
NARELA,0.338156406748163
BHALASWA JAHAGIR PUR,0.34174798134338985
BURARI,0.27343331869026555
PATPARGANJ,0.28788605458248645
PANDAV NAGAR,0.3081213336387997
KISHAN KUNJ,0.26909413644272906
DHARAMPURA,0.19590674379574696
NEW USMANPUR,0.2264690901761095
BHAJANPURA,0.1442199766733926
NEHRU VIHAR,0.086237651124204
SAID UL AJAIB,0.6581111846510447
SANGAM VIHAR,0.59604649282308
MEHRAULI,0.5664778287302442
SANGAM VIHAR WEST,0.3872380578408818
TIGRI,0.1963826972184274
ZAKIR NAGAR,0.3292647904476603
NAJAFGARH,0.18005846814154552
JAHANGIR PURI -II,0.18562175268671513
KUNWAR SINGH NAGAR,0.2016286490279261
VIKAS NAGAR,0.29147309489752166
VIKAS PURI,0.19984318908739096
MAHAVIR NAGAR,0.23567302726462724
DARYAGANJ,0.4201428285588639
BALJIT NAGAR,0.126629326934782
NILOTHI,0.18948151705104047
PRATAP VIHAR,0.10441439279802099
PREM NAGAR,0.14885989218796852
SHASTRI NAGAR,0.28280385092547766
VISHNU GARDEN,0.18551376849585768
TUKHMIR PUR,0.12422136733998501
RAJ NAGAR,0.31860958764202063
